ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1
120,10,E,7,37,44000,R7.22,5.065,34.029516,-118.403014,0.535,ML,5,MANNING,3133
121,10,E,7,37,44000,R8.75,6.595,34.036847,-118.379114,0.325,ML,4,LA CIENEGA,3135
122,10,E,7,37,44000,R9.01,6.855,34.036314,-118.374796,0.23,ML,4,VENICE,3136
123,10,E,7,37,44000,R9.51,7.355,34.034495,-118.366371,0.295,ML,5,WASHINGTON,3137
124,10,E,7,37,44000,R11.54,9.385,34.035074,-118.33108,0.585,ML,5,CRENSHAW 2,3140
125,10,W,7,37,44000,R13.21,11.055,34.037222,-118.302221,0.29,ML,4,NORMANDIE 1,3123
126,10,W,7,37,44000,18.53,17.03,34.05498,-118.211804,0.245,ML,3,STATE,2484
127,10,W,7,37,44000,18.75,17.25,34.053995,-118.208218,0.185,ML,4,SAINT LOUIS,2485
128,10,W,7,37,44000,18.9,17.4,34.053753,-118.205692,0.28,ML,4,SOTO,3816
129,10,W,7,37,44000,18.9,17.4,34.053753,-118.205692,0.28,HV,2,SOTO,3816
130,10,W,7,37,44000,19.31,17.81,34.055448,-118.19888,0.38,ML,6,TREMONT,2487
131,10,E,7,37,48914,21.25,19.75,34.061277,-118.167246,0.25,ML,4,W OF 710,2319
132,10,W,7,37,884,21.72,20.22,34.063934,-118.160163,0.39,ML,3,WINTHROPE,3812
133,10,E,7,37,884,23.38,21.88,34.071342,-118.133569,0.32,ML,4,ATLANTIC 2,3727
134,10,E,7,37,884,23.29,21.79,34.071335,-118.135155,0.235,ML,4,ATLANTIC 1,3726
135,10,W,7,37,884,23.38,21.88,34.071662,-118.133572,0.33,ML,4,ATLANTIC 2,3809
136,10,E,7,37,884,24.32,22.82,34.071574,-118.11718,0.37,ML,4,ALMANSOR,2096
137,10,W,7,37,884,23.95,22.45,34.071803,-118.123604,0.33,ML,4,GARFIELD 1,3808
138,10,E,7,37,884,23.93,22.43,34.071438,-118.123947,0.325,ML,4,GARFIELD 1,3728
139,10,W,7,37,884,24.04,22.54,34.071819,-118.12204,0.18,ML,4,GARFIELD 2,3807
140,10,E,7,37,884,24.77,23.27,34.071665,-118.10937,0.275,ML,4,NEW 1,3730
141,10,W,7,37,884,24.8,23.3,34.072021,-118.108838,0.29,ML,4,NEW 1,3806
142,10,W,7,37,48914,24.89,23.39,34.072053,-118.107276,0.235,ML,4,NEW 2,3805
143,10,E,7,37,48914,25.26,23.76,34.071731,-118.100852,0.26,ML,4,DEL MAR 1,3732
144,10,W,7,37,67042,25.27,23.77,34.072192,-118.100669,0.25,ML,4,DEL MAR 1,3804
145,10,E,7,37,62896,25.39,23.89,34.071766,-118.098584,0.255,ML,4,DEL MAR 2,3733
146,10,W,7,37,62896,25.39,23.89,34.072118,-118.09858,0.265,ML,4,DEL MAR 2,3803
147,10,E,7,37,62896,25.77,24.27,34.071834,-118.091958,0.25,ML,4,SAN GABRIEL 1,3734
148,10,W,7,37,62896,25.8,24.3,34.072221,-118.091434,0.255,ML,4,SAN GABRIEL 1,3802
149,10,W,7,37,62896,25.9,24.4,34.072253,-118.089691,0.246,ML,4,SAN GABRIEL 2,3801
150,10,W,7,37,62896,26.292,24.792,34.072342,-118.082856,0.445,ML,4,WALNUT GROVE,3800
151,10,E,7,37,62896,26.31,24.81,34.071945,-118.082543,0.45,ML,4,WALNUT GROVE,3736
152,10,W,7,37,62896,26.79,25.29,34.072457,-118.074173,0.309,ML,4,ROSEMEAD 1,3799
153,10,E,7,37,62896,26.79,25.29,34.072071,-118.074173,0.315,ML,4,ROSEMEAD 1,3738
154,10,W,7,37,22230,26.91,25.41,34.072494,-118.07208,0.17,ML,4,ROSEMEAD 2,3798
155,10,E,7,37,22230,26.94,25.44,34.072083,-118.071554,0.165,ML,4,ROSEMEAD 2,3739
156,10,E,7,37,22230,27.12,25.62,34.072106,-118.068405,0.445,ML,4,FLAIR,3740
157,10,W,7,37,22230,27.13,25.63,34.07251,-118.068233,0.36,ML,4,FLAIR,3740
